Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Rural population (% of total population),SP.RUR.TOTL.ZS,Afghanistan,AFG,81.684,78.718,76.413,76.054,75.687,75.311,74.926,74.532,74.129,73.718,73.297,72.868
Rural population (% of total population),SP.RUR.TOTL.ZS,Australia,AUS,14.6,12.835,11.702,11.555,11.41,11.267,11.125,10.985,10.847,10.711,10.577,10.446
Rural population (% of total population),SP.RUR.TOTL.ZS,Brazil,BRA,26.078,18.808,16.552,16.251,15.956,15.665,15.377,15.099,14.829,14.567,14.313,14.067
Rural population (% of total population),SP.RUR.TOTL.ZS,China,CHN,73.558,64.123,54.801,53.461,52.12,50.774,49.427,48.111,46.832,45.59,44.386,43.222
Rural population (% of total population),SP.RUR.TOTL.ZS,Colombia,COL,31.724,27.925,25.831,25.54,25.251,24.964,24.679,24.397,24.117,23.839,23.564,23.292
Rural population (% of total population),SP.RUR.TOTL.ZS,Cuba,CUB,26.636,24.677,23.68,23.587,23.495,23.403,23.311,23.219,23.128,23.03,22.926,22.816
Rural population (% of total population),SP.RUR.TOTL.ZS,Finland,FIN,20.633,17.817,16.832,16.701,16.571,16.442,16.312,16.181,16.048,15.914,15.779,15.642
Rural population (% of total population),SP.RUR.TOTL.ZS,France,FRA,25.944,24.129,22.379,22.136,21.894,21.655,21.416,21.18,20.945,20.711,20.48,20.25
Rural population (% of total population),SP.RUR.TOTL.ZS,Germany,DEU,26.882,26.933,26.305,26.105,25.907,25.709,25.512,25.312,25.11,24.906,24.699,24.49
Rural population (% of total population),SP.RUR.TOTL.ZS,Greenland,GRL,20.302,18.4,16.518,16.213,15.913,15.617,15.245,14.8,14.367,13.955,13.564,13.192
Rural population (% of total population),SP.RUR.TOTL.ZS,Iceland,ISL,9.25,7.599,6.72199999999999,6.605,6.489,6.376,6.26600000000001,6.16,6.05800000000001,5.958,5.863,5.77
Rural population (% of total population),SP.RUR.TOTL.ZS,India,IND,74.453,72.333,70.094,69.754,69.413,69.07,68.724,68.369,68.006,67.634,67.253,66.864
Rural population (% of total population),SP.RUR.TOTL.ZS,Mexico,MEX,28.581,25.278,23.077,22.773,22.473,22.175,21.882,21.593,21.309,21.029,20.754,20.483
Rural population (% of total population),SP.RUR.TOTL.ZS,Pakistan,PAK,69.424,66.845,64.558,64.184,63.799,63.402,62.993,62.572,62.14,61.697,61.242,60.776
Rural population (% of total population),SP.RUR.TOTL.ZS,Poland,POL,38.73,38.284,38.771,38.884,38.996,39.108,39.22,39.312,39.383,39.432,39.461,39.469
Rural population (% of total population),SP.RUR.TOTL.ZS,Spain,ESP,24.649,23.738,22.26,22.024,21.79,21.558,21.327,21.098,20.871,20.645,20.421,20.198
Rural population (% of total population),SP.RUR.TOTL.ZS,South Africa,ZAF,47.963,43.109,39.384,38.846,38.313,37.782,37.254,36.728,36.212,35.702,35.199,34.705
Rural population (% of total population),SP.RUR.TOTL.ZS,Sweden,SWE,16.9,15.974,15.412,15.254,15.098,14.944,14.79,14.637,14.486,14.335,14.185,14.036
Rural population (% of total population),SP.RUR.TOTL.ZS,United Kingdom,GBR,21.86,21.349,19.521,19.243,18.969,18.698,18.43,18.166,17.908,17.655,17.408,17.165
Rural population (% of total population),SP.RUR.TOTL.ZS,United States,USA,24.7,20.943,19.731,19.562,19.394,19.228,19.06,18.892,18.723,18.553,18.383,18.212
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 09/18/2017,,,,,,,,,,,,,,,
